source,N,K,solver,wall_time_median,wall_time_mean,wall_time_std,objective_median,gap_median_pct,gap_mean_pct,feasible_rate,n_runs
synthetic,20,5,ecos_bb,0.02941001200088067,0.03219883833662607,0.005230205408154008,-0.21315454337612785,2.4995892492973574e-09,2.7553536504981955e-09,1.0,3
synthetic,20,5,neal,0.9210965519960155,1.0436748649978351,0.21526558024239206,-0.20834144852848857,2.4631752020353685,2.330731363493733,1.0,3
synthetic,20,5,scip,0.4296426309956587,0.5015125579981637,0.16165347055327034,-0.2131545300478827,6.255354881470745e-06,8.254270474266598e-06,1.0,3
synthetic,20,5,tabu,4.4289860270000645,4.439048290999684,0.11185795992839653,-0.21315454338145584,0.0,0.0,1.0,3
synthetic,30,8,ecos_bb,0.04947342399827903,0.04974845633356987,0.0015627386544847571,-0.21113035211973638,7.25104537296804e-10,0.004229189122360629,1.0,3
synthetic,30,8,neal,0.760724173997005,0.7702523656650252,0.0173071236816194,-0.2083663457746632,1.4730314498099035,2.5578590782605573,1.0,3
synthetic,30,8,scip,0.5730515370014473,0.7546361783364167,0.3432800832058162,-0.21115713466037617,6.998471722012953e-06,8.803172322282673e-06,1.0,3
synthetic,30,8,tabu,4.271397535005235,4.2863862503363634,0.04081478666678556,-0.21115714282295134,0.0,0.00889768330918501,1.0,3
synthetic,50,12,ecos_bb,0.19967621000250801,0.2009150073354249,0.017709015431789283,-0.2115835791744259,0.009757120927618643,0.0173432294435918,1.0,3
synthetic,50,12,neal,1.0860336539990385,1.092777043665895,0.019115223566860507,-0.20079358802487432,7.407083075817267,6.7263265538757615,1.0,3
synthetic,50,12,scip,2.064096163994691,2.0859945499978494,0.3426224200603587,-0.2116041836869542,1.983309013058536e-05,1.957194678176331e-05,1.0,3
synthetic,50,12,tabu,4.353715852004825,4.326188851334639,0.059815480357193064,-0.21160422565461098,0.0,0.0,1.0,3
synthetic,75,19,ecos_bb,0.9135665089997929,0.9115248890011571,0.027109714991454835,-0.20673668653957208,0.03949738410823017,0.03341478516265225,1.0,3
synthetic,75,19,neal,1.783648386997811,1.7806647326651728,0.03830667313789647,-0.1907085455172204,7.752925371222721,7.857437404806704,1.0,3
synthetic,75,19,scip,5.97376348200487,6.447970475336963,1.6146625904867857,-0.2067365611891425,6.063289089608482e-05,5.5142026296894046e-05,1.0,3
synthetic,75,19,tabu,4.332259675000387,4.324286878999071,0.03392071448468819,-0.20672799791534346,0.0,0.001400916365974683,1.0,3
synthetic,100,25,ecos_bb,2.2115097459973185,2.3459949596678293,0.26519351246961237,-0.20731089847735726,0.08257732102945663,0.08215198242213011,1.0,3
synthetic,100,25,neal,3.0316906239968375,3.107794784664293,0.29318282220179614,-0.19034106969438763,10.992600698902915,9.929891497857867,1.0,3
synthetic,100,25,scip,8.134588198001438,7.890942314331672,1.8762289328990442,-0.2074621546291637,0.0,2.4811066469330467e-05,1.0,3
synthetic,100,25,tabu,4.438470208995568,4.461848255666458,0.05666067811501317,-0.20729393284258338,0.006842998165260126,0.029309509219690135,1.0,3
synthetic,150,38,ecos_bb,15.577843791004852,14.930587045336628,1.145074830718902,-0.2074886999859609,0.06489861049534466,0.06808933247226777,1.0,3
synthetic,150,38,neal,7.4597243270036415,7.5482959300012835,0.2999497554638098,-0.18851370994587757,11.144390599703193,11.2062041953674,1.0,3
synthetic,150,38,scip,16.8742716590059,41.60791959366907,50.951098880910266,-0.20762344471664457,0.0,2.8704144254470865e-05,1.0,3
synthetic,150,38,tabu,4.619080675998703,4.613307452333781,0.17696136665780557,-0.20754417363407204,0.03818021740305375,0.02856160406287696,1.0,3
synthetic,200,50,ecos_bb,49.704060869000386,50.89377304099859,2.0983478027395734,-0.21006990491691266,0.08368810748147527,0.07975889301658752,1.0,3
synthetic,200,50,neal,13.487414711002202,13.689362857665401,0.5755582392339761,-0.18326645542537873,12.579241118360326,11.921845543510498,1.0,3
synthetic,200,50,scip,107.13751679000416,141.40286216700042,145.14477470217042,-0.21025424074378746,0.0,0.01938940021149282,1.0,3
synthetic,200,50,tabu,4.974494163994677,5.008743049998884,0.07126799316683921,-0.2102334148478283,0.0015516688837606118,0.0038189234621165496,1.0,3
