N,K,p,n_seeds,train_time_median,sample_time_median,expected_obj_median,p_valid_median,best_obj_median,gap_pct_median,gap_pct_mean,gap_pct_std,bf_optimum
8,2,1,3,5.472626697272062,0.012942973524332047,-0.040255027749952786,0.34716796875,-0.20574562242510244,0.0,0.0,0.0,-0.21992083230922335
8,2,2,3,13.973722141236067,0.015411030501127243,-0.05902579196888135,0.48828125,-0.20574562242510244,0.0,0.0,0.0,-0.21992083230922335
10,2,1,3,12.3295210711658,0.01703077182173729,-0.03904535268209849,0.252685546875,-0.2118113560086911,0.0,0.0,0.0,-0.2177803088410084
10,2,2,3,18.72704641520977,0.0322936475276947,-0.062414278140783264,0.439208984375,-0.2118113560086911,0.0,0.0,0.0,-0.2177803088410084
12,3,1,3,17.23240301385522,0.031165380030870438,-0.060980779033742404,0.41748046875,-0.21324312090287698,0.0,0.0,0.0,-0.22189926497684662
12,3,2,3,28.051509857177734,0.05052842199802399,-0.053244350053363046,0.42333984375,-0.21324312090287698,0.0,0.0,0.0,-0.22189926497684662
14,4,1,3,51.935950089246035,0.07758527249097824,-0.0500272976161368,0.378662109375,-0.20727131451693745,0.0,0.15563423479620075,0.2695664020641238,-0.21736421523830082
14,4,2,3,107.71552316099405,0.12303303554654121,-0.04813710718905485,0.35595703125,-0.20727131451693745,0.0,0.0,0.0,-0.21736421523830082
16,4,1,3,141.87882383912802,0.20487690344452858,-0.051117899469104916,0.388427734375,-0.20259908779882294,0.7000421107987824,0.5998114274016749,0.5565073486109788,-0.21520873118945943
16,4,2,3,280.1850557476282,0.37160202115774155,-0.03605133839569063,0.27734375,-0.20259908779882294,0.0,0.6741588898162408,1.1676774495359576,-0.21520873118945943
18,4,1,3,536.721334617585,0.8194613270461559,-0.04558391478783401,0.35400390625,-0.2110323034251808,0.0,0.5931362690994733,1.0273421538921337,-0.20677645508692244
18,4,2,2,1356.8776134848595,1.6356611642986536,-0.023795829708457877,0.1864013671875,-0.20025691655322297,4.182034506391709,4.182034506391709,5.914289917251427,-0.20677645508692244
